,subject_uuid,session_date,subject_nickname,sex,subject_birth_date,ear_mark,subject_line,subject_source,protocol_number,subject_description,subject_ts,subject_strain,avg_weight,session_day,condition
91,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-09,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9970326108032056,31,6
92,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-20,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0415429959720703,42,5
93,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-10-03,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0682492440527536,55,5
94,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-11,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9747774182187733,2,1
95,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-24,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0059347217957075,15,1
96,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-01,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.019287803387638,23,6
97,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-10,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0014836662994566,32,6
98,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-21,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0749257848487188,43,5
99,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-13,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9836795292112751,4,1
100,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-25,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.988130584707526,16,6
101,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-02,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0103857772919584,24,6
102,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-11,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0103857772919584,33,6
103,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-23,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0771513550452556,45,5
104,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-14,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9658753921230937,5,1
105,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-26,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9747774182187733,17,6
106,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-04,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0326409698763908,26,6
107,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-12,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9792284737150242,34,6
108,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-24,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0847181239198354,46,5
109,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-16,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0103857772919584,7,1
110,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-27,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9703263627225223,18,6
111,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-05,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0459940514683213,27,6
112,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-13,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0148367478913871,35,6
113,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-25,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0780414982270479,47,5
114,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-19,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.019287803387638,10,1
115,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-28,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0148367478913871,19,6
116,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-06,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0415429959720703,28,6
117,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-14,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0397626247116634,36,6
118,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-26,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.054896162460823,48,5
119,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-20,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0326409698763908,11,1
120,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-29,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0014836662994566,20,6
121,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-07,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.019287803387638,29,6
122,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-17,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0459940514683213,39,6
123,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-27,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0682492440527536,49,5
125,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-08-30,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0148367478913871,21,6
126,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-08,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0148367478913871,30,6
127,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-09-19,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.070029700209983,41,5
128,56b81bb0-fffb-4875-9cd6-29465782fb0e,2018-10-01,IBL_24,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0402077387509707,53,5
129,64ff6fea-89a5-449d-a9f4-53f4b200e7db,2018-08-10,IBL_20,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,1.0295302179835786,1,1
130,64ff6fea-89a5-449d-a9f4-53f4b200e7db,2018-08-19,IBL_20,M,2018-04-23,,C57BL/6NCrl,Charles River,1,,2019-08-06 21:30:42,C57BL/6N,0.9771811914123945,10,1
